id,intervention,sex,age,college,year,loc_1_bl,loc_2_bl,loc_3_bl,loc_4_bl,loc_5_bl,loc_6_bl,loc_7_bl,loc_8_bl,loc_9_bl,loc_10_bl,loc_1_fu,loc_2_fu,loc_3_fu,loc_4_fu,loc_5_fu,loc_6_fu,loc_7_fu,loc_8_fu,loc_9_fu,loc_10_fu,eff_1_bl,eff_2_bl,eff_3_bl,eff_4_bl,eff_5_bl,eff_1_fu,eff_2_fu,eff_3_fu,eff_4_fu,eff_5_fu
1,0,1,22,1,4,4,2,2,1,4,4,1,2,1,3,4,4,4,3,5,3,4,3,3,3,3,3,5,5,4,2,3,2,2,3
2,0,0,18,1,3,1,5,2,3,4,5,5,3,1,1,4,3,4,3,2,3,3,4,3,1,3,2,4,4,3,2,2,3,2,1
3,0,1,19,1,4,4,3,3,3,3,4,3,2,2,2,1,3,2,3,5,2,4,2,4,3,3,4,3,3,3,1,1,1,1,3
4,1,0,19,1,3,3,2,5,4,5,3,3,4,5,5,5,4,4,2,3,3,4,5,5,4,2,4,2,2,1,3,2,2,1,2
5,0,1,22,1,2,3,4,4,5,1,2,3,3,3,5,5,4,4,3,4,4,2,1,2,4,2,4,3,4,3,2,2,2,2,4
6,1,0,20,1,1,3,3,5,5,2,2,4,3,5,3,4,3,4,3,2,1,3,3,3,4,2,2,1,2,2,3,3,3,2,2
7,0,1,19,1,2,1,3,1,2,3,2,4,3,2,2,2,3,5,2,3,2,4,3,4,2,5,5,4,5,4,1,1,4,2,2
8,0,0,19,1,1,4,5,1,2,3,2,2,3,4,2,2,4,2,3,3,2,3,1,4,1,4,4,5,2,5,1,1,1,1,2
9,0,1,22,1,1,4,5,2,5,2,1,1,5,5,3,2,2,1,5,5,4,4,4,3,3,4,3,4,4,4,1,1,1,4,4
10,0,0,19,1,1,2,4,2,5,2,3,5,4,2,3,2,3,2,4,2,3,4,2,2,2,4,4,5,4,4,1,1,1,2,2
11,1,1,18,1,2,5,3,5,5,3,2,1,4,5,3,4,5,4,3,3,4,5,4,5,3,2,4,3,4,2,3,3,2,2,2
12,0,0,22,1,1,3,2,4,4,1,2,1,3,4,3,5,3,1,4,4,5,2,3,3,5,4,3,3,4,5,3,2,2,3,2
13,1,1,18,1,2,3,1,4,1,4,2,2,4,4,3,3,2,3,4,4,3,2,4,4,3,3,3,4,3,5,2,1,2,2,2
14,0,0,19,1,4,1,4,4,2,4,4,4,2,3,2,4,4,3,3,4,4,3,1,4,3,3,2,3,2,4,2,2,1,1,3
15,0,1,22,1,3,3,4,2,2,2,3,5,5,2,4,4,3,4,3,3,3,3,3,3,4,2,2,1,2,3,3,3,1,2,3
16,1,0,20,1,3,2,1,2,3,4,3,4,2,3,4,5,2,4,5,2,2,2,4,3,2,2,1,2,1,3,2,2,3,2,2
17,1,1,18,1,1,1,2,1,2,3,4,4,2,1,2,4,2,4,2,4,5,3,3,3,3,2,2,3,2,4,3,1,3,2,3
18,1,0,18,1,2,4,2,3,3,4,2,1,3,4,4,4,4,4,3,5,4,5,3,5,4,2,2,3,2,1,3,3,4,1,2
19,1,1,21,1,3,1,4,1,1,5,5,4,1,2,3,3,3,4,5,5,3,5,3,3,2,2,1,3,3,2,1,2,3,4,2
20,0,0,21,1,2,4,5,4,2,3,2,3,3,5,4,3,3,2,3,4,5,3,2,2,1,2,3,2,2,2,1,2,2,3,3
21,1,1,18,1,2,4,2,2,3,4,4,3,2,2,2,3,3,3,3,3,5,5,2,3,4,4,4,2,2,1,1,2,2,1,2
22,1,0,20,1,1,4,3,2,4,1,3,2,5,4,2,2,4,4,5,4,2,1,3,4,3,4,5,3,5,5,1,3,3,3,3
23,0,1,19,1,3,2,3,3,4,4,2,4,5,5,2,2,2,2,3,2,2,3,3,2,3,5,4,5,5,5,1,2,2,1,3
24,0,0,21,1,1,2,3,2,3,3,3,2,4,2,3,3,4,4,2,1,5,2,3,2,2,2,3,4,4,2,1,2,1,3,1
25,0,1,22,1,1,5,5,3,2,4,3,5,3,3,3,2,2,5,2,4,3,3,3,2,4,1,1,1,1,1,2,3,4,1,3
26,0,0,20,1,3,3,2,3,2,5,5,5,2,1,1,4,4,4,3,4,3,3,4,4,3,3,3,3,2,2,1,2,3,2,1
27,1,1,19,1,3,3,3,1,1,4,1,5,3,3,4,3,2,4,2,3,3,4,3,3,4,4,3,4,3,4,2,1,3,1,1
28,0,0,18,1,4,1,2,3,4,3,5,4,4,3,3,2,1,2,4,2,2,2,2,4,3,4,2,3,1,1,2,2,1,3,2
